,Centers,Locations,emails,phones,programs
0,(Gi) Kinaa'amaadiiwigamingoons Little Teaching Lodge Aboriginal Head Start,"205 College Avenue
Brandon, Manitoba
R7A 7E2",ltglodge@mymts.net,(204) 729-0788,Nursery/Preschool
1,Action Centre Day Nursery Inc.,"205 College Avenue
Brandon, Manitoba
R7A 7E2",ben.action@shawbiz.ca,(204) 582-1903,"Infant, Nursery/Preschool, School Age"
2,Advantage Child Care Academy Inc.,"51 Scurfield Boulevard
Winnipeg, Manitoba
R3Y 1G4",hdhanjal@advantagechildcareacademy.ca,,"Infant, Nursery/Preschool, School Age"
3,Agassiz Child Care Centre Inc.,"131 Leach Street
Winnipeg, Manitoba
R3T 5W6",agassizchildcare@mts.net,(204) 269-3779,"Nursery/Preschool, School Age"
4,Aleph-Bet Child Life Enrichment Program Inc.,"1007 Sinclair Street
Winnipeg, Manitoba
R2V 3J5",alephbet@mymts.net,,"Nursery/Preschool, School Age"
5,Aleph-Bet Child Life Enrichment School Age Program Inc. - Margaret Park,"385 Cork Avenue
Winnipeg, Manitoba
R2V 1R6",alephbet@mymts.net,,"Nursery/Preschool, School Age"
6,Alonsa Nursery School,"#6 Hwy #50
Alonsa, Manitoba
R0A 0N0",,(204) 767-2168,Nursery/Preschool
7,Andrews Early Learning Centre,"801 Andrews Street
Winnipeg, Manitoba
R2V 0T9",smdcdirectors@gmail.com,,"Infant, Nursery/Preschool"
8,Angus McKay Nursery School Incorporated,"850 Woodvale Street
Winnipeg, Manitoba
R2K 2G8",angusnursery@gmail.com,,Nursery/Preschool
9,Anne Ross Day Nursery,"511 King Street
Winnipeg, Manitoba
R2W 5L4",emorris@mountcarmel.ca,,"Infant, Nursery/Preschool"
10,Arborg Play Group Inc.,"495 Mill Ave
Arborg, Manitoba
R0C 0A0",hloweapg@mymts.net,,"Infant, Nursery/Preschool"
11,Arborgate Treasure Keepers Children's Centre,"71 Normandeau Bay
La Broquerie, Manitoba
R0A 0W0",treasurekeepers@hotmail.com,,"Infant, Nursery/Preschool, School Age"
12,Ashern Day Care Co-op Inc.,"2 Main Street E
Ashern, Manitoba
R0C 0E0",asherndaycare@hotmail.com,,"Infant, Nursery/Preschool"
13,Ashworth Children's Centre Incorporated,"164 Southglen Boulevard
Winnipeg, Manitoba
R2N 3J3",ashwor@mymts.net,,"Infant, Nursery/Preschool, School Age"
14,Assiniboine Castle Daycare Co-op Inc.,"500 Shaftesbury Boulevard
Winnipeg, Manitoba
R3P 0M1",acdccoop@gmail.com,,"Infant, Nursery/Preschool"
15,Assiniboine Children's Centre Inc.,"175 Winston Road
Winnipeg, Manitoba
R3J 1N1",marilyn@assiniboinecc.org,(204) 889-3308,"Infant, Nursery/Preschool, School Age"
16,Assiniboine Children's Centre Inc. Parkside Site,"135 Parkside Drive
Winnipeg, Manitoba
R3J 1N1",info@assiniboinecc.org,(204) 889-3308,"Infant, Nursery/Preschool"
17,Assiniboine Early Learning Centre Inc.,"1430 Victoria Avenue E
Brandon, Manitoba
R7A 2A9",aelc@assiniboine.net,,"Infant, Nursery/Preschool"
18,Austin-Sidney Nursery School Inc.,"7 Fraser Street
Austin, Manitoba
R0H 0C0",austinsidneynurseryschool@outlook.com,,Nursery/Preschool
19,Avicenna Academy,"200 Dalhousie Drive
Winnipeg, Manitoba
R3T 2Z1",daycare@avicenna-academy.ca,,Nursery/Preschool
