Centers,Locations,emails,phones,licenses,hours,programs
A'q'amnik Daycare,"7470 Mission Road, Cranbrook, V1C 7E5",mshortridge@aqam.net,250-426-5717,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
A Place To Grow Childcare Centre,"13730 94A Ave, Surrey, V3V 1Z2",claudia.fenwick@fraserhealth.ca,604-585-5691,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Abc University Daycare,"4595 West 8Th Avenue, Vancouver, V6R 2A4",abcdaycarevancouver@gmail.com,604-228-5885,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Aberdeen Hall Preparatory School,"950 Academy Way, Kelowna, V1V 3A4",businessoffice@aberdeenhall.com,250-491-1270,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Aberdeen Hills Montessori Preschool / Kindergarten,"2191 Van Horne Dr, Kamloops, V1S 1L9",jckl.education@icloud.com,250-372-9940,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Academics Prekindergarten Yvr,"500-3600 Lysander Lane, Richmond, V7B 1C3",yvr@academicsprek.com,604-861-9074,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Academics Prekindergarten Yvr,"500-3600 Lysander Lane, Richmond, V7B 1C3",yvr@academicsprek.com,604-861-9074,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Aerie Early Care And Learning Centre,"121 - 612 Goldstream Ave, Victoria, V9B 3K6",geshia_flores@atira.bc.ca,778-828-9930,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Agassiz Christian Preschool,"7571 Morrow Rd, Agassiz, V0M 1A2",office@agassizchristian.com,604-796-9310,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Al-Mustafa Junior Kindergarten,"5441 125A St, Surrey, V3X 1W4",info@amschool.ca,604-900-2773,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Alberni Valley Saplings,"109 5100 Tebo Avenue, Port Alberni, V9Y 5Y6",avsaplings@outlook.com,250-735-7794,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Aldergrove Daycare Centre,"26770 29 Ave, Aldergrove, V4W 3B8",aldergrovedaycare@shaw.ca,604-856-3724,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: 3 Years to Kindergarten, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Almosthome Gordon,"935 Goldstream Ave, Victoria, V9B 2Y2",almosthomechildcare@shaw.ca,250-590-7666,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Angels Playhouse Infant & Toddler Child Care Centre,"103 7339 Macpherson Ave, Burnaby, V5J 0B1",angelsplayhouse@gmail.com,604-809-3868,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Angels Playhouse Infant And Toddler Childcare Centre(Rumble),"5588 Rumble St, Burnaby, V5J 2C1",angelsplayhouse@gmail.com,604-809-3868,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Animal Crackers Children's Centre #3,"116 11590 83Rd Ave, Delta, V4C 5V2",can2cna@gmail.com,604-594-6622,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: 3 Years to Kindergarten
Appledale Children's Centre,"6566 Berekoff Rd, Winlaw, V0G 2J0",appledaledaycare@telus.net,250-226-7844,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Armstrong Montessori Academy,"B - 2516 Patterson Ave, Armstrong, V0E 1B0",vbrousseau123@gmail.com,250-307-4690,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool"
Armstrong Preschool,"3260 Rosedale Avenue, Armstrong, V0E 1B2",armstrongpreschoolstaff@gmail.com,250-546-9314,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
Arrowsmith Independent Preschool/Childcare Centre,"849 Hilliers Rd S, Qualicum Beach, V9K 1X5",arrowsmithschool@shaw.ca,250-752-2722,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten, Licensed Preschool, School Age: Kindergarten"
Artemis Young Parent Program,"3020 Richmond Rd, Victoria, V8R 4V1",hkayartemis@gmail.com,250-598-5183,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Under 36 Months, 3 Years to Kindergarten"
Arthur Hatton Elementary,"315 Chestnut Ave, Kamloops, V2B 1L4",mjohnson@sd73.bc.ca,250-376-7217,Licensed Group Child Care Facility,Hours of operation: Weekdays,"Programs: Licensed Preschool, School Age: Kindergarten, School Age: Grade 1 to Age 12"
Baby Steps Infant And Toddler Care,"10520 Hall Ave, Richmond, V6X 3T9",babystepsrichmond@gmail.com,604-207-2522,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Baby To Superstar (Bts),"2936 Valleyvista Dr, Coquitlam, V3E 2P4",babytosuperstar@gmail.com,604-518-9355,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Under 36 Months
Baker's Corner Preschool,"1563 Regan Ave, Coquitlam, V3J 3B7",bakerscornerp@gmail.com,604-461-5848,Licensed Group Child Care Facility,Hours of operation: Weekdays,Programs: Licensed Preschool
